gamma,correlation_Xy,correlation_Xz
0.0,0.4984892219915261,0.9388430310089296
0.1,0.5302577606725072,0.9358721155956179
0.2,0.5577893688492767,0.9259296770817508
0.30000000000000004,0.5853040968248342,0.913100724160632
0.4,0.6163299066524873,0.8820749143329788
0.5,0.6502253506861801,0.848179470299286
0.6000000000000001,0.684492159146537,0.8139126618389291
0.7000000000000001,0.7191472122347699,0.7792576087506963
0.8,0.7557266082611704,0.7426782127242957
0.9,0.7888793234415354,0.7095254975439307
1.0,0.8199895342752486,0.6784152867102176
1.1,0.8528046454313736,0.6456001755540927
1.2000000000000002,0.8792896811329991,0.619115139852467
1.3,0.901790989348593,0.5966138316368731
1.4000000000000001,0.9217096267787512,0.5766951942067149
1.5,0.9398558430816495,0.5585489779038166
1.6,0.9532587228439763,0.5451460981414898
1.7000000000000002,0.9638426090038993,0.5345622119815668
1.8,0.9738863287250384,0.5245184922604278
1.9000000000000001,0.9810604142401378,0.5173444067453284
2.0,0.9862426360122213,0.5121621849732448
